時間,じかん,time
服,ふく,clothes
靴,くつ,shoes
ワンピース,わんぴーす,dress
ブラウス,ぶらうす,blouse
パンツ,ぱんつ,"undershorts, panties, pants"
ジーンズ,ジーンズ,jeans
マフラー,まふらー,scarf
手袋,てぶくろ,gloves
ハイヒール,はいひーる,high heels
サンダル,さんだる,sandals
スニーカー,すにーかー,sneakers
イヤリング,いやりんぐ,earings
ピアス,ぴあす,pierced earings
襟,えり,collar
長袖,ながそで,long-sleeved
半袖,はんそで,short-sleeved
柄,がら,pattern
模様,もよう,pattern
デザイン,でざいん,design
和服,わふく,Japanese-stlye clothing
脱ぐ,ぬぐ,to take off (clothes)
締める,しめる,"to fasten, to tie, to wear (a belt, etc.)"
巻く,まく,"to wrap (muffler, scarf, etc.)"
嵌める(はめる),はめる,"to wear (a ring, gloves, etc.)"
外す(はずす),はずす,"to take off, to undo (accessories)"
評価,ひょうか,Appraisal
派手(な),はで(な),flashy
地味(な),じみ(な),plain
シンプル,しんぷる,simple
お洒落(な)(おしゃれ),おしゃれ(な),stylish
上品(な),じょうひん(な),elegant
サイズ,さいず,size
きつい,きつい,tight (clothes)
緩い,ゆるい,loose (clothes)
ぶかぶか,ぶかぶか,baggy (clothes)
気に入る,きにいる,to like
似合う,(人に) にあう,to look good on (someone)
流行る,はやる,to be in fashion
試着する,しちゃくする,"to try on (clothes), fitting"
髪型,かみがた,hairstyle
試食する,ししょくする,to try out eating (food)
試飲する,しいんする,to try drinking something (tasting)
試聴する,しちょうする,"trial listening (e.g. to a record before buying), audition"
黒,くろ,black
ブラック,ぶらっく,black
白,しろ,white
ホワイト,ほわいと,white
赤,あか,red
レッド,れっど,red
青,あお,blue
ブルー,ぶるー,blue
黄色,きいろ,yellow
イエロー,いえろー,yellow
緑(色),みどり(いろ),green
グリーン,ぐりーん,green
ピンク(色),ぴんく(いろ),pink
茶色,ちゃいろ,brown
ブラウン,ぶらうん,brown
灰色,はいいろ,gray
グレー,ぐれー,gray
オレンジ(色),おれんじ(いろ),orange
紫(色),むらさき(いろ),purple
パープル,ぱーぷる,purple
金(色),きん(いろ),gold
ゴールド,ごーるど,gold
銀(色),ぎん(いろ),silver
シルバー,しるばー,silver
真っ～,まっ～,"very, really, pure, etc."
柄,がら,pattern
模様,もよう,pattern
無地,むじ,"plain, solid (color)"
花柄,はながら,flower pattern
チェック,ちぇっく,"checkered, cross-pattern"
ストライプ,すとらいぷ,striped pattern
ボーダー,ぼーだー,stripe-bordered pattern
水玉,みずたま,dotted pattern
丸(い),まる(い),"circle, round"
四角(い),しかく,"square, square-shaped"
三角,さんかく,triangle
正方形,せいほうけい,square
長方形,ちょうほうけい,rectangle
直径,ちょっけい,diameter
半径,はんけい,radius
直線,ちょくせん,straight line
