時間,じかん,time
思いを伝える,おもいをつたえる,to communicate one's thoughts
考えを述べる,かんがえをのべる,to state one's idea
述べる,のべる,"to state, express"
願いを込める,ねがいをこめる,to put in a request
願い,ねがい,"request, wish"
込める,こめる,"to put into, to include"
動作,どうさ,action
行きの電車,いきのでんしゃ,outbound train
帰りの時間,かえりのじかん,return time
迎えの車,むかえのくるま,pick-up car
星の動き,ほしのうごき,movement of the stars
星,ほし,star
脳の働き,のうのはたらき,workings of the brain
片づけが済む,かたづけがすむ,to finish cleaning up
手伝いを頼む,てつだいをたのむ,to ask for help
頼むを聞く,たのむをきく,to entertain a request
別れのとき,わかれのとき,time to say good-bye
歌と踊り,うたとおどり,song and dance
遊びを覚える,あそびをおぼえる,to get to know a game
飾りをつける,かざりをつける,to decorate
知らせを受ける,しらせをうける,to get a notification
決まりを守る,きまりをまもる,to stick to a decision
集まりに遅れる,あつまりにおくれる,to be late for a gathering
続きを見る,つづきをみる,to see the continuation
急ぎの用事,いそぎのようじ,urgent errand
用事,ようじ,"errand, task, things to do"
役割の違い,やくわりのちがい,difference in roles
役割,やくわり,"role, part (of a task)"
旅の疲れ,たびのつかれ,travel exhaustion
旅,たび,"trip, travel"
終わりの時間,おわりのじかん,finishing time
回数,かいすう,frequency
再～,さい～,"re-, again"
再利用,さいりよう,"reuse, reutilization"
再放送,さいほうそう,rebroadcasting
最～,さい～,"~ est, most ~ "
最後,さいご,"end, last"
最高,さうこう,highest
最新,さいしん,latest
最大,さいだい,biggest
未～,み～,"not yet, coming ~"
未完成,みかんせい,"unfinished, incompletion"
未経験,みけいけん,inexperienced
未成年,みせいねん,minor
未確認,みかくにん,unconfimed
未使用,みしよう,unused
～新,～しん,new ~
新学期,しんがっき,new semester
新商品,しんしょうひん,new product
新記録,しんきろく,new record
新年,しんねん,new year
新品,しんひん,new item
新人,しんじん,"new person, newbie"
否定,ひてい,negation
不～,ふ～,not ~
不真面目,ふまじめ,"not serious, lazy"
不健康,ふけんこう,unhealthy
不十分,ふじゅうぶん,insufficient
不可能,ふかのう,impossible
不要,ふよう,unnecessary
不必要,ふひつよう,unnecessary
不便,ふべん,inconvenient
不幸,ふこう,unfortunate
無～,む～,"un ~, not ~, no ~"
無関係,むかんけい,unrelated
無責任,むせきにん,irresponsibility
無色,むしょく,colorless
無料,むりょう,free  (of payment)
無理,むり,unreasonable
非～,ひ～,"un ~, non ~"
非常識,ひじょうしき,"thoughtless, lack of common sense"
～者,～しゃ,"~ worker, ~ person"
医者,いしゃ,doctor
新聞記者,しんぶんきしゃ,newspaper reporter
司会者,しかいしゃ,"chairperson, presenter, emcee"
研究者,けんきゅうしゃ,researcher
担当者,たんとうしゃ,person in charge
参加者,さんかしゃ,participant
希望者,きぼうしゃ,"prospective, applicant"
応募者,おうぼしゃ,applicant
～員,～いん,"~ member, ~ employee"
会社員,かいしゃいん,company employee
銀行員,ぎんこういん,bank employee
店員,てんいん,"clerk, salesperson"
駅員,えきいん,station attendant
事務員,じむいん,clerk
係員,かかりいん,attendant
職員,しょくいん,staff member
～家,～か,"~ er, ~ ist, ~ professional"
作家,さっか,author
小説家,しょうせつか,novelist
漫画家,まんがか,cartoonist
画家,がか,painter
芸術家,げいじゅつか,artist
政治家,せいじか,politician
専門家,せんもんか,expert
～師,～し,"~ expert, ~ teacher, ~ master"
教師,きょうし,teacher
医師,いし,doctor
看護師,かんごし,nurse
～業,～ぎょう,"~ industry, ~ work"
作業,さぎょう,"work, task"
工業,こうぎょう,manufacturing industry
農業,のうぎょう,agriculture
産業,さんぎょう,industry
営業,えいぎょう,"sales, business"
～品,～ひん,"~ item, ~ product"
食品,しょくひん,food
化粧品,けしょうひん,cosmetics
商品,しょうひん,product
輸入品,ゆにゅうひん,imported goods
セール品,せーるひん,sale item
作品,さくひん,work (of art)
～器,～き,"~ utensil, ~ instrument"
食器,しょっき,"dishes, tableware"
楽器,がっき,musical instrument
～機,～き,~ machine
掃除機,そうじき,vacuum cleaner
洗濯機,せんたくき,washer
自動販売機,じどうはんばいき,vending machine
コピー機,こぴーき,copier
～料,～りょう,~ fee
入場料,にゅうじょうりょう,entrance fee
使用料,しようりょう,"charge, rent, usage/rental fee"
授業料,じゅぎょうりょう,admission/tuition fee
手数料,てすうりょう,service charge
送料,そうりょう,shipping fee
有料,ゆうりょう,"fee is required, toll"
～代,～だい,"~ bill, ~ expenses, ~ payment  (note: also used as suffix for generations/era/time)"
電気代,でんきだい,electric bill
食事代,しょくじだい,"meal expenses, bill (restaurant)"
バス代,ばすだい,bus fare
本代,ほんだい,"payment for books, book expenses"
洋服代,ようふくだい,clothing expenses
チケット代,ちけっとだい,ticket cost
修理代,しゅうりだい,cost of repair
～費,～ひ,"~ expense, ~ cost"
交通費,こうつうひ,travel expenses
食費 ,しょくひ,food budget
参加費,さんかひ,entry fee
会費,かいひ,membership due
学費,がくひ,tuition
～賃,～ちん,"~ fare, ~ fee, ~ rent"
家賃,かちん,rent
運賃,うんちん,fare
性質,せいしつ,disposition
～中,～ちゅう,"in ~, on ~, within ~, during ~"
電話中,でんわちゅう,on the phone
食事中,しょくじちゅう,having a meal
会議中,かいぎちゅう,in a meeting
世界中,せかいじゅう,"worldwide, throughout the world"
部屋中,へやじゅう,around the room
今週中,こんしゅうちゅう,"in this week, all this week (adv)"
休み中,やすみちゅう,on vacation
一日中,いちにちじゅう,"all day long, throughout the day"
～的,～てき,"~ y, ~ ly (note: turns  a noun to ""na"" adjective)"
健康的,けんこうてき,healthy
女性的,じょせいてき,feminine
計画的,けいかくてき,planned
基本的,きほんてき,basic
具体的,ぐたいてき,specific 
積極的,せっきょくてき,active
～用,～よう,for ~
男性用,だんせいよう,"men's ~, ~ for men"
旅行用,りょこうよう,for traveling
家庭用,かていよう,for home use
本～,ほん～,"this ~ , our ~"
本社,ほんしゃ,headquarters
本人,ほんにん,"the person in question, the person himself"
本日,ほんじつ,today
本当,ほんとう,true
～製,～せい,"made in ~, made from ~"
日本製,にほんせい,made in Japan
外国製,がいこくせい,"made abroad, imported"
革製,かわせい,leather
～立,～りつ,"~ property, ~ bound"
国立,こくりつ,national
私立,しりつ,private
市立,しりつ,"public, city property"
～線,～せん,~ line
国内線,こくないせん,domestic line
国際線,こくさいせん,international line
JR線,JRせん,JR (Japan Railways) line
